value,date
127299.0,1952-01-01
127517.0,1952-02-01
127721.0,1952-03-01
127933.0,1952-04-01
128130.0,1952-05-01
128333.0,1952-06-01
128543.0,1952-07-01
128788.0,1952-08-01
129043.0,1952-09-01
129296.0,1952-10-01
129441.0,1952-11-01
129747.0,1952-12-01
129963.0,1953-01-01
130160.0,1953-02-01
130339.0,1953-03-01
130546.0,1953-04-01
130735.0,1953-05-01
130946.0,1953-06-01
131174.0,1953-07-01
131439.0,1953-08-01
131708.0,1953-09-01
131968.0,1953-10-01
132213.0,1953-11-01
132443.0,1953-12-01
132680.0,1954-01-01
132902.0,1954-02-01
133114.0,1954-03-01
133340.0,1954-04-01
133554.0,1954-05-01
133780.0,1954-06-01
134016.0,1954-07-01
134280.0,1954-08-01
134560.0,1954-09-01
134837.0,1954-10-01
135097.0,1954-11-01
135339.0,1954-12-01
135578.0,1955-01-01
135799.0,1955-02-01
136008.0,1955-03-01
136241.0,1955-04-01
136453.0,1955-05-01
136685.0,1955-06-01
136921.0,1955-07-01
137182.0,1955-08-01
137463.0,1955-09-01
137745.0,1955-10-01
138013.0,1955-11-01
138260.0,1955-12-01
138503.0,1956-01-01
138736.0,1956-02-01
138967.0,1956-03-01
139211.0,1956-04-01
139426.0,1956-05-01
139649.0,1956-06-01
139893.0,1956-07-01
140181.0,1956-08-01
140478.0,1956-09-01
140770.0,1956-10-01
141053.0,1956-11-01
141305.0,1956-12-01
141561.0,1957-01-01
141796.0,1957-02-01
142019.0,1957-03-01
142261.0,1957-04-01
142491.0,1957-05-01
142731.0,1957-06-01
142974.0,1957-07-01
143247.0,1957-08-01
143528.0,1957-09-01
143806.0,1957-10-01
144060.0,1957-11-01
144288.0,1957-12-01
144523.0,1958-01-01
144736.0,1958-02-01
144935.0,1958-03-01
145166.0,1958-04-01
145387.0,1958-05-01
145629.0,1958-06-01
145872.0,1958-07-01
146133.0,1958-08-01
146403.0,1958-09-01
146687.0,1958-10-01
146956.0,1958-11-01
147197.0,1958-12-01
147437.0,1959-01-01
147675.0,1959-02-01
147895.0,1959-03-01
148136.0,1959-04-01
148355.0,1959-05-01
148581.0,1959-06-01
148820.0,1959-07-01
149091.0,1959-08-01
149366.0,1959-09-01
149647.0,1959-10-01
149911.0,1959-11-01
150143.0,1959-12-01
150376.0,1960-01-01
150587.0,1960-02-01
150778.0,1960-03-01
150997.0,1960-04-01
151212.0,1960-05-01
151434.0,1960-06-01
151661.0,1960-07-01
151935.0,1960-08-01
152228.0,1960-09-01
152518.0,1960-10-01
152786.0,1960-11-01
153032.0,1960-12-01
153277.0,1961-01-01
153510.0,1961-02-01
153732.0,1961-03-01
153982.0,1961-04-01
154207.0,1961-05-01
154442.0,1961-06-01
154681.0,1961-07-01
154948.0,1961-08-01
155233.0,1961-09-01
155514.0,1961-10-01
155773.0,1961-11-01
156006.0,1961-12-01
156232.0,1962-01-01
156442.0,1962-02-01
156640.0,1962-03-01
156864.0,1962-04-01
157077.0,1962-05-01
157304.0,1962-06-01
157528.0,1962-07-01
157780.0,1962-08-01
158048.0,1962-09-01
158313.0,1962-10-01
158564.0,1962-11-01
158786.0,1962-12-01
159003.0,1963-01-01
159203.0,1963-02-01
159377.0,1963-03-01
159570.0,1963-04-01
159780.0,1963-05-01
160008.0,1963-06-01
160232.0,1963-07-01
160486.0,1963-08-01
160751.0,1963-09-01
161018.0,1963-10-01
161255.0,1963-11-01
161462.0,1963-12-01
161658.0,1964-01-01
161848.0,1964-02-01
162037.0,1964-03-01
162235.0,1964-04-01
162437.0,1964-05-01
162656.0,1964-06-01
162879.0,1964-07-01
163121.0,1964-08-01
163366.0,1964-09-01
163621.0,1964-10-01
163837.0,1964-11-01
164029.0,1964-12-01
164213.0,1965-01-01
164383.0,1965-02-01
164530.0,1965-03-01
164699.0,1965-04-01
164878.0,1965-05-01
165077.0,1965-06-01
165293.0,1965-07-01
165518.0,1965-08-01
165751.0,1965-09-01
165987.0,1965-10-01
166185.0,1965-11-01
166362.0,1965-12-01
166529.0,1966-01-01
166678.0,1966-02-01
166821.0,1966-03-01
166989.0,1966-04-01
167168.0,1966-05-01
167362.0,1966-06-01
167550.0,1966-07-01
167752.0,1966-08-01
167974.0,1966-09-01
168197.0,1966-10-01
168388.0,1966-11-01
168562.0,1966-12-01
168726.0,1967-01-01
168882.0,1967-02-01
169027.0,1967-03-01
169196.0,1967-04-01
169353.0,1967-05-01
169527.0,1967-06-01
169702.0,1967-07-01
169901.0,1967-08-01
170103.0,1967-09-01
170301.0,1967-10-01
170488.0,1967-11-01
170647.0,1967-12-01
170798.0,1968-01-01
170910.0,1968-02-01
171046.0,1968-03-01
171198.0,1968-04-01
171351.0,1968-05-01
171526.0,1968-06-01
171696.0,1968-07-01
171888.0,1968-08-01
172085.0,1968-09-01
172280.0,1968-10-01
172456.0,1968-11-01
172611.0,1968-12-01
172750.0,1969-01-01
172871.0,1969-02-01
173013.0,1969-03-01
173151.0,1969-04-01
173321.0,1969-05-01
173497.0,1969-06-01
173667.0,1969-07-01
173867.0,1969-08-01
174080.0,1969-09-01
174292.0,1969-10-01
174490.0,1969-11-01
174665.0,1969-12-01
174839.0,1970-01-01
174998.0,1970-02-01
175146.0,1970-03-01
175391.0,1970-04-01
175597.0,1970-05-01
175820.0,1970-06-01
176042.0,1970-07-01
176285.0,1970-08-01
176530.0,1970-09-01
176778.0,1970-10-01
177014.0,1970-11-01
177228.0,1970-12-01
177456.0,1971-01-01
177658.0,1971-02-01
177845.0,1971-03-01
178055.0,1971-04-01
178250.0,1971-05-01
178452.0,1971-06-01
178651.0,1971-07-01
178871.0,1971-08-01
179104.0,1971-09-01
179335.0,1971-10-01
179545.0,1971-11-01
179730.0,1971-12-01
179907.0,1972-01-01
180051.0,1972-02-01
180202.0,1972-03-01
180376.0,1972-04-01
180535.0,1972-05-01
180715.0,1972-06-01
180886.0,1972-07-01
181065.0,1972-08-01
181268.0,1972-09-01
181469.0,1972-10-01
181646.0,1972-11-01
181811.0,1972-12-01
181975.0,1973-01-01
182110.0,1973-02-01
182244.0,1973-03-01
182410.0,1973-04-01
182567.0,1973-05-01
182736.0,1973-06-01
182899.0,1973-07-01
183082.0,1973-08-01
183279.0,1973-09-01
183465.0,1973-10-01
183624.0,1973-11-01
183775.0,1973-12-01
183922.0,1974-01-01
184064.0,1974-02-01
184201.0,1974-03-01
184351.0,1974-04-01
184503.0,1974-05-01
184676.0,1974-06-01
184844.0,1974-07-01
185032.0,1974-08-01
185236.0,1974-09-01
185441.0,1974-10-01
185615.0,1974-11-01
185772.0,1974-12-01
185921.0,1975-01-01
186055.0,1975-02-01
186188.0,1975-03-01
186343.0,1975-04-01
186513.0,1975-05-01
186758.0,1975-06-01
186963.0,1975-07-01
187185.0,1975-08-01
187383.0,1975-09-01
187577.0,1975-10-01
187761.0,1975-11-01
187921.0,1975-12-01
188085.0,1976-01-01
188239.0,1976-02-01
188371.0,1976-03-01
188518.0,1976-04-01
188675.0,1976-05-01
188851.0,1976-06-01
189025.0,1976-07-01
189223.0,1976-08-01
189430.0,1976-09-01
189634.0,1976-10-01
189824.0,1976-11-01
189996.0,1976-12-01
190169.0,1977-01-01
190334.0,1977-02-01
190494.0,1977-03-01
190674.0,1977-04-01
190849.0,1977-05-01
191036.0,1977-06-01
191229.0,1977-07-01
191448.0,1977-08-01
191678.0,1977-09-01
191894.0,1977-10-01
192099.0,1977-11-01
192293.0,1977-12-01
192467.0,1978-01-01
192619.0,1978-02-01
192782.0,1978-03-01
192981.0,1978-04-01
193166.0,1978-05-01
193369.0,1978-06-01
193575.0,1978-07-01
193795.0,1978-08-01
194043.0,1978-09-01
194261.0,1978-10-01
194467.0,1978-11-01
194660.0,1978-12-01
194855.0,1979-01-01
195043.0,1979-02-01
195225.0,1979-03-01
195428.0,1979-04-01
195622.0,1979-05-01
195833.0,1979-06-01
196045.0,1979-07-01
196285.0,1979-08-01
196537.0,1979-09-01
196791.0,1979-10-01
197017.0,1979-11-01
197233.0,1979-12-01
197441.0,1980-01-01
197646.0,1980-02-01
197839.0,1980-03-01
198051.0,1980-04-01
198241.0,1980-05-01
198512.0,1980-06-01
198716.0,1980-07-01
198943.0,1980-08-01
199176.0,1980-09-01
199407.0,1980-10-01
199602.0,1980-11-01
199769.0,1980-12-01
199927.0,1981-01-01
200061.0,1981-02-01
200214.0,1981-03-01
200393.0,1981-04-01
200565.0,1981-05-01
200751.0,1981-06-01
200956.0,1981-07-01
201177.0,1981-08-01
201402.0,1981-09-01
201631.0,1981-10-01
201812.0,1981-11-01
201979.0,1981-12-01
202147.0,1982-01-01
202303.0,1982-02-01
202460.0,1982-03-01
202635.0,1982-04-01
202799.0,1982-05-01
202982.0,1982-06-01
203178.0,1982-07-01
203382.0,1982-08-01
203589.0,1982-09-01
203806.0,1982-10-01
203983.0,1982-11-01
204150.0,1982-12-01
204312.0,1983-01-01
204463.0,1983-02-01
204603.0,1983-03-01
204771.0,1983-04-01
204912.0,1983-05-01
205108.0,1983-06-01
205297.0,1983-07-01
205491.0,1983-08-01
205691.0,1983-09-01
205897.0,1983-10-01
206068.0,1983-11-01
206225.0,1983-12-01
206375.0,1984-01-01
206517.0,1984-02-01
206665.0,1984-03-01
206829.0,1984-04-01
206983.0,1984-05-01
207150.0,1984-06-01
207338.0,1984-07-01
207539.0,1984-08-01
207750.0,1984-09-01
207966.0,1984-10-01
208149.0,1984-11-01
208306.0,1984-12-01
208458.0,1985-01-01
208592.0,1985-02-01
208722.0,1985-03-01
208890.0,1985-04-01
209064.0,1985-05-01
209260.0,1985-06-01
209456.0,1985-07-01
209669.0,1985-08-01
209888.0,1985-09-01
210103.0,1985-10-01
210297.0,1985-11-01
210467.0,1985-12-01
210628.0,1986-01-01
210778.0,1986-02-01
210918.0,1986-03-01
211084.0,1986-04-01
211261.0,1986-05-01
211449.0,1986-06-01
211641.0,1986-07-01
211844.0,1986-08-01
212058.0,1986-09-01
212264.0,1986-10-01
212457.0,1986-11-01
212610.0,1986-12-01
212774.0,1987-01-01
212920.0,1987-02-01
213069.0,1987-03-01
213242.0,1987-04-01
213413.0,1987-05-01
213598.0,1987-06-01
213794.0,1987-07-01
214002.0,1987-08-01
214213.0,1987-09-01
214436.0,1987-10-01
214629.0,1987-11-01
214799.0,1987-12-01
214971.0,1988-01-01
215121.0,1988-02-01
215269.0,1988-03-01
215435.0,1988-04-01
215600.0,1988-05-01
215796.0,1988-06-01
216011.0,1988-07-01
216230.0,1988-08-01
216454.0,1988-09-01
216683.0,1988-10-01
216874.0,1988-11-01
217046.0,1988-12-01
217214.0,1989-01-01
217368.0,1989-02-01
217520.0,1989-03-01
217711.0,1989-04-01
217896.0,1989-05-01
218104.0,1989-06-01
218332.0,1989-07-01
218563.0,1989-08-01
218806.0,1989-09-01
219057.0,1989-10-01
219271.0,1989-11-01
219469.0,1989-12-01
219649.0,1990-01-01
219817.0,1990-02-01
220002.0,1990-03-01
220296.0,1990-04-01
220555.0,1990-05-01
220839.0,1990-06-01
221122.0,1990-07-01
221429.0,1990-08-01
221741.0,1990-09-01
222047.0,1990-10-01
222336.0,1990-11-01
222616.0,1990-12-01
222879.0,1991-01-01
223125.0,1991-02-01
223362.0,1991-03-01
223633.0,1991-04-01
223903.0,1991-05-01
224197.0,1991-06-01
224483.0,1991-07-01
224797.0,1991-08-01
225116.0,1991-09-01
225425.0,1991-10-01
225708.0,1991-11-01
225954.0,1991-12-01
226204.0,1992-01-01
226438.0,1992-02-01
226693.0,1992-03-01
226982.0,1992-04-01
227275.0,1992-05-01
227579.0,1992-06-01
227884.0,1992-07-01
228222.0,1992-08-01
228538.0,1992-09-01
228851.0,1992-10-01
229137.0,1992-11-01
229403.0,1992-12-01
229669.0,1993-01-01
229909.0,1993-02-01
230142.0,1993-03-01
230404.0,1993-04-01
230670.0,1993-05-01
230953.0,1993-06-01
231245.0,1993-07-01
231556.0,1993-08-01
231857.0,1993-09-01
232153.0,1993-10-01
232415.0,1993-11-01
232664.0,1993-12-01
232909.0,1994-01-01
233113.0,1994-02-01
233342.0,1994-03-01
233621.0,1994-04-01
233867.0,1994-05-01
234142.0,1994-06-01
234426.0,1994-07-01
234714.0,1994-08-01
235007.0,1994-09-01
235291.0,1994-10-01
235549.0,1994-11-01
235794.0,1994-12-01
236034.0,1995-01-01
236260.0,1995-02-01
236485.0,1995-03-01
236745.0,1995-04-01
236988.0,1995-05-01
237260.0,1995-06-01
237547.0,1995-07-01
237833.0,1995-08-01
238142.0,1995-09-01
238446.0,1995-10-01
238705.0,1995-11-01
238933.0,1995-12-01
239141.0,1996-01-01
239354.0,1996-02-01
239585.0,1996-03-01
239843.0,1996-04-01
240098.0,1996-05-01
240376.0,1996-06-01
240657.0,1996-07-01
240966.0,1996-08-01
241274.0,1996-09-01
241571.0,1996-10-01
241868.0,1996-11-01
242115.0,1996-12-01
242350.0,1997-01-01
242575.0,1997-02-01
242811.0,1997-03-01
243073.0,1997-04-01
243332.0,1997-05-01
243612.0,1997-06-01
243902.0,1997-07-01
244227.0,1997-08-01
244543.0,1997-09-01
244842.0,1997-10-01
245116.0,1997-11-01
245362.0,1997-12-01
245616.0,1998-01-01
245828.0,1998-02-01
246037.0,1998-03-01
246294.0,1998-04-01
246554.0,1998-05-01
246826.0,1998-06-01
247105.0,1998-07-01
247408.0,1998-08-01
247704.0,1998-09-01
247993.0,1998-10-01
248267.0,1998-11-01
248516.0,1998-12-01
248780.0,1999-01-01
248982.0,1999-02-01
249188.0,1999-03-01
249441.0,1999-04-01
249707.0,1999-05-01
249991.0,1999-06-01
250285.0,1999-07-01
250592.0,1999-08-01
250893.0,1999-09-01
251193.0,1999-10-01
251461.0,1999-11-01
251706.0,1999-12-01
251966.0,2000-01-01
252180.0,2000-02-01
252399.0,2000-03-01
252643.0,2000-04-01
252867.0,2000-05-01
253116.0,2000-06-01
253375.0,2000-07-01
253643.0,2000-08-01
253922.0,2000-09-01
254191.0,2000-10-01
254443.0,2000-11-01
254686.0,2000-12-01
254910.0,2001-01-01
255127.0,2001-02-01
255340.0,2001-03-01
255571.0,2001-04-01
255800.0,2001-05-01
256052.0,2001-06-01
256299.0,2001-07-01
256560.0,2001-08-01
256833.0,2001-09-01
257088.0,2001-10-01
257331.0,2001-11-01
257560.0,2001-12-01
257778.0,2002-01-01
257984.0,2002-02-01
258180.0,2002-03-01
258387.0,2002-04-01
258613.0,2002-05-01
258854.0,2002-06-01
259095.0,2002-07-01
259350.0,2002-08-01
259608.0,2002-09-01
259860.0,2002-10-01
260096.0,2002-11-01
260303.0,2002-12-01
260508.0,2003-01-01
260704.0,2003-02-01
260901.0,2003-03-01
261115.0,2003-04-01
261336.0,2003-05-01
261574.0,2003-06-01
261810.0,2003-07-01
262062.0,2003-08-01
262311.0,2003-09-01
262564.0,2003-10-01
262797.0,2003-11-01
262998.0,2003-12-01
263182.0,2004-01-01
263358.0,2004-02-01
263551.0,2004-03-01
263769.0,2004-04-01
263987.0,2004-05-01
264213.0,2004-06-01
264453.0,2004-07-01
264709.0,2004-08-01
264961.0,2004-09-01
265220.0,2004-10-01
265456.0,2004-11-01
265684.0,2004-12-01
265904.0,2005-01-01
266095.0,2005-02-01
266277.0,2005-03-01
266480.0,2005-04-01
266694.0,2005-05-01
266926.0,2005-06-01
267176.0,2005-07-01
267430.0,2005-08-01
267697.0,2005-09-01
267962.0,2005-10-01
268197.0,2005-11-01
268421.0,2005-12-01
268637.0,2006-01-01
268844.0,2006-02-01
269050.0,2006-03-01
269271.0,2006-04-01
269486.0,2006-05-01
269729.0,2006-06-01
269986.0,2006-07-01
270253.0,2006-08-01
270544.0,2006-09-01
270825.0,2006-10-01
271084.0,2006-11-01
271330.0,2006-12-01
271564.0,2007-01-01
271792.0,2007-02-01
272011.0,2007-03-01
272244.0,2007-04-01
272473.0,2007-05-01
272729.0,2007-06-01
272994.0,2007-07-01
273257.0,2007-08-01
273536.0,2007-09-01
273797.0,2007-10-01
274044.0,2007-11-01
274277.0,2007-12-01
274496.0,2008-01-01
274701.0,2008-02-01
274897.0,2008-03-01
275107.0,2008-04-01
275313.0,2008-05-01
275546.0,2008-06-01
275788.0,2008-07-01
276035.0,2008-08-01
276299.0,2008-09-01
276544.0,2008-10-01
276776.0,2008-11-01
276994.0,2008-12-01
277198.0,2009-01-01
277392.0,2009-02-01
277578.0,2009-03-01
277777.0,2009-04-01
277974.0,2009-05-01
278196.0,2009-06-01
278429.0,2009-07-01
278675.0,2009-08-01
278936.0,2009-09-01
279179.0,2009-10-01
279408.0,2009-11-01
279623.0,2009-12-01
279823.0,2010-01-01
280017.0,2010-02-01
280202.0,2010-03-01
280181.211,2010-04-01
280359.053,2010-05-01
280538.502,2010-06-01
280735.698,2010-07-01
280947.775,2010-08-01
281166.466,2010-09-01
281389.958,2010-10-01
281585.764,2010-11-01
281771.705,2010-12-01
281950.74,2011-01-01
282103.376,2011-02-01
282255.404,2011-03-01
282426.238,2011-04-01
282597.08,2011-05-01
282781.223,2011-06-01
282987.049,2011-07-01
283195.367,2011-08-01
283419.118,2011-09-01
283634.159,2011-10-01
283819.523,2011-11-01
283999.712,2011-12-01
284173.179,2012-01-01
284328.977,2012-02-01
284489.369,2012-03-01
284657.127,2012-04-01
284820.53,2012-05-01
285007.594,2012-06-01
285200.786,2012-07-01
285412.341,2012-08-01
285636.749,2012-09-01
285843.978,2012-10-01
286043.863,2012-11-01
286222.752,2012-12-01
286379.595,2013-01-01
286510.143,2013-02-01
286652.224,2013-03-01
286807.855,2013-04-01
286973.654,2013-05-01
287161.042,2013-06-01
287348.778,2013-07-01
287570.327,2013-08-01
287796.125,2013-09-01
288012.27,2013-10-01
288218.026,2013-11-01
288401.551,2013-12-01
288583.923,2014-01-01
288743.883,2014-02-01
288907.203,2014-03-01
289079.218,2014-04-01
289259.505,2014-05-01
289454.152,2014-06-01
289652.368,2014-07-01
289883.786,2014-08-01
290115.296,2014-09-01
290343.734,2014-10-01
290554.209,2014-11-01
290736.157,2014-12-01
290918.646,2015-01-01
291064.511,2015-02-01
291220.786,2015-03-01
291392.295,2015-04-01
291573.972,2015-05-01
291763.558,2015-06-01
291968.213,2015-07-01
292192.45,2015-08-01
292417.611,2015-09-01
292643.019,2015-10-01
292846.265,2015-11-01
293033.071,2015-12-01
293222.862,2016-01-01
293388.098,2016-02-01
293541.468,2016-03-01
293711.212,2016-04-01
293889.995,2016-05-01
294078.466,2016-06-01
294281.042,2016-07-01
294491.361,2016-08-01
294699.851,2016-09-01
294909.726,2016-10-01
295096.527,2016-11-01
295264.912,2016-12-01
295428.195,2017-01-01
295571.497,2017-02-01
295703.97,2017-03-01
295851.757,2017-04-01
296009.199,2017-05-01
296176.237,2017-06-01
296357.612,2017-07-01
296557.716,2017-08-01
296756.019,2017-09-01
296955.952,2017-10-01
297132.633,2017-11-01
297291.399,2017-12-01
297444.123,2018-01-01
297590.823,2018-02-01
297726.69,2018-03-01
297877.866,2018-04-01
298038.704,2018-05-01
298209.14,2018-06-01
298393.909,2018-07-01
298590.25,2018-08-01
298784.788,2018-09-01
298980.95,2018-10-01
299153.864,2018-11-01
299308.861,2018-12-01
299457.812,2019-01-01
299600.744,2019-02-01
299732.843,2019-03-01
299880.25,2019-04-01
300037.319,2019-05-01
300203.989,2019-06-01
300384.993,2019-07-01
300581.333,2019-08-01
300775.872,2019-09-01
300972.035,2019-10-01
301144.949,2019-11-01
301299.946,2019-12-01
